Updated,date,division,venue,name,score
9/28/25,9/28/25,Small School 3,Roslyn,Glen Ridge,69.100
9/28/25,9/28/25,Small School 3,Roslyn,Midland Park,66.500
9/28/25,9/28/25,Small School 3,Roslyn,Deer Park,61.750
9/28/25,9/28/25,Large School 3,Roslyn,Sewanhaka,67.900
9/28/25,9/28/25,Large School 2,Roslyn,Huntington,76.700
9/28/25,9/28/25,Large School 2,Roslyn,Copiague,75.750
9/28/25,9/28/25,Large School 2,Roslyn,Sachem,75.750
9/28/25,9/28/25,Large School 2,Roslyn,Brentwood,75.475
9/28/25,9/28/25,Large School 2,Roslyn,Division Ave,74.050
9/28/25,9/28/25,Small School 1,Roslyn,Roslyn,83.750
9/28/25,9/27/25,Small School 3,Lancaster,Le Roy,72.150
9/28/25,9/27/25,Small School 3,Lancaster,Pioneer,69.300
9/28/25,9/27/25,Small School 3,Lancaster,Falconer-Frewsburg,68.050
9/28/25,9/27/25,Large School 2,Lancaster,Lancaster,80.400
9/28/25,9/27/25,Large School 2,Lancaster,West Seneca,76.950
9/28/25,9/27/25,Large School 3,Malverne,Walt Whitman,68.000
9/28/25,9/27/25,Large School 2,Malverne,Brentwood,75.100
9/28/25,9/27/25,Large School 2,Malverne,Huntington,74.375
9/28/25,9/27/25,Large School 2,Malverne,Sachem,73.925
9/28/25,9/27/25,Large School 2,Malverne,Copiague,73.350
9/28/25,9/27/25,Large School 2,Malverne,Division Ave,72.200
9/28/25,9/27/25,Small School 1,Malverne,Mineola,83.900
9/28/25,9/27/25,Small School 1,Malverne,Roslyn,81.400
9/28/25,9/27/25,Small School 1,Malverne,Malverne,78.250
9/28/25,9/27/25,National,Malverne,Arlington,85.900
9/28/25,9/27/25,National,Malverne,Hicksville,83.100
9/28/25,9/27/25,Large School 3,Oswego,Syracuse,73.600
9/28/25,9/27/25,Large School 3,Oswego,Indian River,69.750
9/28/25,9/27/25,Large School 3,Oswego,Rome Free Academy,68.900
9/28/25,9/27/25,Small School 2,Oswego,Oswego,78.275
9/28/25,9/27/25,Small School 2,Oswego,Westmoreland,76.600
9/28/25,9/27/25,Small School 1,Oswego,Phoenix,84.150
9/28/25,9/27/25,Small School 1,Oswego,New Hartford,83.800
9/28/25,9/27/25,Small School 1,Oswego,East Irondequoit,82.450
9/28/25,9/27/25,Small School 1,Oswego,Central Square,81.400
9/28/25,9/27/25,Small School 1,Oswego,East Syracuse Minoa,81.300
9/28/25,9/27/25,Small School 1,Oswego,Medina,76.100
9/28/25,9/27/25,Small School 3,Vestal,Union Endicott,66.35
9/28/25,9/27/25,Small School 2,Vestal,Horseheads,75.75
9/28/25,9/27/25,Small School 2,Vestal,Vestal,75.35
9/28/25,9/27/25,Small School 2,Vestal,Johnson City,74.7
9/28/25,9/27/25,Small School 2,Vestal,Norwich,74.2
9/28/25,9/27/25,Large School 2,Vestal,Kingston,79.8
9/28/25,9/27/25,Large School 2,Vestal,Corning,75.75